id	recommendation_rank_jp_beginner	service_name	company	home_region	platform_type	official_site_url	beginner_tier	zero_to_one_score_1_5	growth_stage	japanese_site_fit	japanese_site_fit_reason	japanese_ui_support	minimum_traffic	minimum_site_age	review_required	review_speed	custom_domain_requirement	install_method	ads_txt	bank_transfer	japan_bank_only_complete	bank_method	payout_processor	paypal	payoneer	wise_revolut	stripe_payout	crypto	minimum_payout_overall	minimum_payout_bank	payout_schedule	payout_currency	payout_fee_note	setup_fee	contract_exclusivity	ad_models	ad_formats	header_bidding_or_programmatic	adult_policy	AI_content_policy_note	adsense_good_standing_required	UX_intrusiveness_1_5	beginner_recommendation	change_risk	confidence	last_verified_date	source_primary_url	source_requirements_url	source_payment_url	notes	slug	affiliate_url	pros	cons	recommended_for
11	10	PopAds	PopAds	グローバル	Popunder広告	https://www.popads.net/publishers.html	C	3	0→1 / 小規模	個別審査	40カ国超のPublisher向け。日本語明示は確認できず。	英語中心	なし	公開要件なし	Yes	比較的軽いが固定日数不明	要確認	JavaScript	不明/不要な形式中心	Yes	Conditional	Wire	PopAds	Yes	No/不明	不明	No	不明/時期による	$5（PayPal等）	$500（Wire）	日次引出申請可	USD等	Wireは銀行手数料あり得る	0	なし	CPM	Popunder	Popunderオークション	比較的広いが違法/禁止コンテンツ不可	AI固有の公開基準は確認できず。	No	5	『貼れば収益』は体験しやすいがUXが強烈。教育用DBでは注意表示必須。	Medium	High	2026-08-11	https://www.popads.net/publishers.html	https://www.popads.net/publishers.html	https://www.popads.net/faq.html		popads				
12	11	Clickadu	Clickadu	グローバル	海外アドネットワーク	https://www.clickadu.com/publishers	C	3	0→1 / 小規模	個別審査	グローバルGEO対応。日本語の公式言語明記は確認できず。	英語中心	公開最低PVなし/サイト承認あり	不明	Yes	不明	要確認	広告タグ	状況次第	Yes	Conditional	International Wire	支払方法別	Yes	No/主要手段ではない	不明	No	Yes	$50	$1,000（Wire）	週次/隔週/月次（契約条件）	USD/EUR等	Wire USDは銀行手数料記載あり	0	なし	CPM/CPC/CPA等	Popunder, Banner, In-page, Video等	ネットワーク	カテゴリ/規約による	AI固有の公開基準は確認できず。	No	5	銀行のみでは$1,000 Wireが重い。PayPal許容層向け。	High	High	2026-08-11	https://www.clickadu.com/publishers	https://www.clickadu.com/publishers	https://faq.clickadu.com/en/articles/9506556-payment-and-finance		clickadu				
13	12	BidVertiser	Bpath Ltd / BidVertiser	グローバル	海外アドネットワーク	https://www.bidvertiser.com/publisher/	C	2	小規模	個別審査	サイト言語を登録する仕組みはあるが、日本語を明示した現行一覧は未確認。	英語中心	固定PV閾値なし。ただし良質な実トラフィックを要求	目安3か月以上	Yes	目安48時間	必須ではない	HTML/JS + 所有権確認	状況次第	Yes	Conditional	Wire	支払方法別	Yes	要最新画面確認	不明	No	要最新画面確認	$10目安（手段別）	$500目安（Wire、要最新確認）	Net30系	USD等	手段別	0	なし	CPC/CPM/CPA等	Display, Native, Pop等	ネットワーク	規約による	ユニークで更新されるコンテンツ、検索露出・評判を重視。	No	4	無料サブドメインを明示的に条件付きで扱う点はDB上かなり参考になる。	High	Medium	2026-08-11	https://www.bidvertiser.com/publisher/	https://zendesk.bidvertiser.com/hc/en-us/articles/214107725-Site-requirements-and-verifying	https://zendesk.bidvertiser.com/hc/en-us/categories/201694345-Publishers	支払最低額は支払方法・時期で変わるためアカウント画面再確認推奨。	bidvertiser				
14	13	Monetag	Monetag / PropellerAds ecosystem	グローバル	海外アドネットワーク	https://monetag.com/	C	2	0→1 / 小規模	個別審査	グローバル向けだが日本語明示一覧は未確認。	英語中心	固定最低PVの公開条件なし	不明	Yes	サイト審査あり	必須	広告タグ/SmartLink	状況次第	Yes	Conditional	Wire / Online Banking / Revolut等	支払方法別	Yes	Yes	Revolutあり	No	Yes	$5（PayPal/Skrill等）	$500（Wire等）	通常月2回。条件により週次	USD等	$1,000未満のWireは高額手数料記載あり	0	なし	CPM/CPA等	Onclick/Pop, Push, Interstitial, SmartLink等	ネットワーク	カテゴリ/規約による	オリジナルコンテンツ・実トラフィックを審査。	No	5	無料サブドメイン戦略とは相性が悪い。独自ドメイン前提なら実験候補。	High	High	2026-08-11	https://monetag.com/	https://monetag.com/	https://help.monetag.com/en/articles/6745951-payment-methods-available-in-monetag	free hosted非対応は公式トップ/ブログで明記。	monetag				
15	14	ExoClick	ExoClick	グローバル	Programmatic ad network / 成人カテゴリも扱う	https://www.exoclick.com/publishers/	C	2	小規模〜成長	個別審査	グローバル在庫。日本語固有の公式対応条件は未確認。	英語中心	公開固定閾値を本調査で確認できず	不明	Yes	不明	要確認	広告タグ	推奨/状況次第	Yes	Conditional	Bank Wire	ExoClick	支払画面要確認	支払画面要確認	支払画面要確認	No	支払画面要確認	20 EUR/USD（BitPay・Paxum）	200 EUR/USD（Wire）	週次Net7（月曜）または月次Net20	EUR/USD	銀行・支払手段ごとに異なる	0	なし	CPM/CPC/CPA等	Display, Native, Video, Pop等	Programmatic	成人向けカテゴリを正式に扱う	AI固有の公開基準は本調査で確認できず。	No	4	一般日本語ブログの第一候補ではない。成人カテゴリ等の特殊用途向け。	High	High	2026-08-11	https://www.exoclick.com/publishers/	https://docs.exoclick.com/publishers/	https://docs.exoclick.com/publishers/payments/payment-options-timescales	公式Payments文書でWire最低200 EUR/USD、週次Net7または月次Net20を確認。日本の銀行での受取可否・中継銀行手数料は口座ごとに確認。	exoclick				
16	15	RevContent	RevContent	米国	Native advertising network	https://www.revcontent.com/publishers	C	2	小規模〜成長	実質不向き	国際Publisherは受け付けるが、北米ネイティブ中心。日本語サイトの明示対応は未確認。	英語	固定PV閾値なしと案内されるが品質審査あり	不明	Yes/人手審査	個別	必須	Native widget/tag	状況次第	Yes	Conditional	International Wire	RevContent	Yes	No	不明	No	No/主要手段ではない	$100目安（支払方法ページ）	$1,000（International Wire）	規約/請求サイクル	USD	Wire手数料あり得る	0	契約条件確認	CPC/Native	Native recommendation widgets	Native network	ブランドセーフティ審査	人手ドメイン審査。独自性・ブランドセーフティ重視。	No	2	日本語初心者には優先度低い。ネイティブ広告の成長先として研究用。	High	Medium	2026-08-11	https://www.revcontent.com/publishers	https://help.revcontent.com/knowledge/creating-a-revcontent-publisher-account	https://help.revcontent.com/knowledge/publisher-payment-requirements-methods	支払閾値はTermsとHelpで差が出る場合があるため契約画面を優先。	revcontent				
17	16	MGID	MGID	グローバル	Native advertising network	https://www.mgid.com/publishers	Growth-only	1	約9万訪問/月〜	公式OK	公式Helpで『すべてのサイト言語』に対応し、広告は70+言語と明記。	英語中心	3,000 unique visitors/日（約90,000/月）	固定月数の明記なし	Yes	目安24時間	必須	Native widget/tag	推奨	Yes	Conditional	Tipalti Bank Transfer / eCheck / Wire	Tipalti	Yes	支払手段は要最新確認	不明	No	不明	$100	$100（方法により手数料）	月次	USD/ローカル通貨変換あり得る	非USD eCheck/Wire等は手数料条件あり	0	なし/契約確認	CPC/Native	Native recommendation widgets	Native network	Adult/torrent/streaming/low-information等を禁止	最低10記事・情報量/品質を要求。	No（AdSense併用可と公式FAQ）	2	日本語対応は明確だが3,000 UU/日が高い。育ったサイトの乗換先。	Medium	High	2026-08-11	https://www.mgid.com/publishers	https://help.mgid.com/publishers-general-information	https://help.mgid.com/what-are-your-payout-methods		mgid				
18	17	Journey by Mediavine	Mediavine	米国	Managed programmatic ads	https://www.journeymv.com/	Growth	2	1,000 premium sessions/月〜	条件付き公式OK	非英語サイトも可。ただし2026-08更新で『premium sessions』1,000/月が必要。例はUS/UK/Canada/Australia等で、日本国内中心PVは不利。	英語	1,000 premium sessions/月（2026-08-07更新）	旧Helpでは4か月。最新申請条件は再確認推奨	Yes	新条件で高速化と案内	必須	Managed integration	要プラットフォーム指示	Yes	Conditional	eCheck/Local Bank Transfer / International Wire等	Tipalti	Yes	支払画面で要確認	銀行情報として利用可否は要確認	No	No	$100〜（方法別）	$100 Wire / $200 local bank目安	Net65	USD/ローカル通貨	方法別。Local bankはFX費用あり	0	広告管理契約条件あり	Programmatic CPM	Display/Video等	Managed programmatic	ブランドセーフ	独自性・人間の関与・ブランドセーフを重視。	Googleポリシー良好状態を重視	2	非英語OKは魅力。ただし日本国内トラフィック中心の初心者には『premium sessions』が難所。	High	High	2026-08-11	https://www.journeymv.com/	https://www.mediavine.com/blog/two-years-of-journey-by-mediavine/	https://help.mediavine.com/mediavine-payment-methods	Grow 30日必須という旧条件は2026-08-07更新でGrow optionalへ変更。	journey-by-mediavine				
19	18	Monumetric	Monumetric	米国	Managed programmatic ads	https://www.monumetric.com/	Growth	1	10,000 PV/月〜	個別審査	英語圏中心のManaged広告。日本語対応を明示した現行公式条件は確認できず。	英語	Propel: 10,000〜80,000 PV/月	不明	Yes	個別	必須	Managed integration	要指示	Unknown	Unknown	公開情報で本調査時に確認できず	非公開/契約時	公開情報で要確認	要確認	要確認	No/確認できず	No/確認できず	公開情報で要確認	公開情報で要確認	公開情報で要確認	要確認	要確認	$99（Propel）	長期ロックインなしと案内	Programmatic CPM	Display等	Managed programmatic	ブランドセーフ	品質審査あり。AI固有条件は本調査で明示確認できず。	要確認	2	10k PVと$99初期費用があるため0→1向けではない。	Medium	Medium	2026-08-11	https://www.monumetric.com/	https://www.monumetric.com/join/			monumetric				
20	19	Newor Media	Newor Media	米国	Managed programmatic ads	https://newormedia.com/	Growth	1	10,000 PV/月〜	実質不向き	非英語サイトも条件付き可だが、50%以上のトラフィックをUS/UK/Canada/Australiaから要求。	英語	Display Ads: 10,000 PV/月。新規サイト例外で5,000 visitors検討可	新規<3か月でも例外検討あり	Yes	個別	必須	Managed integration	要指示	Unknown	Unknown	要契約確認	要契約確認	要契約確認	要契約確認	要契約確認	No/確認できず	No/確認できず	要確認	要確認	Net30保証と案内	要確認	要確認	要確認	契約条件確認	Programmatic CPM	Display/Video等	Managed programmatic	ブランドセーフ	品質・トラフィックソース審査。	要確認	2	日本国内PV中心の日本語サイトには地理条件が厳しく、優先度低。	High	High	2026-08-11	https://newormedia.com/	https://newormedia.com/blog/ad-monetization-onboarding-with-newor-media/	https://newormedia.com/faqs		newor-media				
21	20	Raptive	Raptive	米国	Premium managed programmatic	https://raptive.com/	Growth	1	25,000 PV/月〜	実質不向き	25k〜99,999 PV層はUS/UK/Canada/NZ/Australiaが50%以上、100k+でも40%以上必要。	英語	25,000 PV/月	6か月	Yes	個別	必須	Managed integration	要指示	Yes	Conditional	eCheck/Local bank / Wire	Tipalti	Yes	要確認	銀行情報として要確認	No	No	$25（非Wire）	$25 local bank / $100 Wire	Net45	USD/ローカル通貨	Local bankはFX 2.5%等。Wire feeあり	0	広告管理契約	Programmatic CPM	Display/Video等	Managed programmatic	ブランドセーフ	Meaningful human involvement・original contentを要求。	Googleポリシー良好状態重視	2	日本語サイトでも海外Tier1流入が多い例外を除き、初心者向けではない。	Medium	High	2026-08-11	https://raptive.com/	https://help.raptive.com/hc/en-us/articles/360032840891-Who-is-eligible-for-Raptive	https://help.raptive.com/hc/en-us/articles/360013465192-Payment-Methods		raptive				
22	21	Ezoic	Ezoic	米国	Ad optimization / programmatic	https://www.ezoic.com/	Growth	1	原則250,000 MAU〜	個別審査	グローバルサービスだが日本語固有条件は本調査で明示確認できず。	英語中心	原則250,000 monthly active users（2026現行要件）	不明	Yes	個別	必須	DNS/Cloud/JS等の統合	要指示	Yes	Conditional	Wise bank transfer / PayPal / Payoneer / Check	Wise等	Yes	Yes	Wise Yes	No	No	$20	$20目安	Net30標準（Net60/90選択肢あり）	USD/口座側で変換	FX/受取銀行条件による	0/サービス契約による	契約条件確認	Programmatic CPM	Display/Video等	Ad optimization / programmatic	Google等のポリシー準拠	品質/ポリシー審査。	ポリシー準拠重要	2	昔の『初心者向けAdSense代替』情報は古い。現行は大規模サイト向け。	High	High	2026-08-11	https://www.ezoic.com/	https://support.ezoic.com/kb/article/getting-started-ezoics-requirements	https://support.ezoic.com/kb/article/ezoic-payments		ezoic				
23	22	Setupad	Setupad	EU/グローバル	Header bidding / managed programmatic	https://setupad.com/	Growth	1	100,000 visitors/月〜	個別審査	グローバルPublisher向け。日本語固有条件は未確認。	英語	100,000 visitors/月（公式条件）	不明	Yes	個別	必須	Header bidding integration / ads.txt	必須相当（全需要ソースを記載）	Yes	Conditional	Bank Transfer	Setupad	Yes	Yes	Wise/Revolut/Paysera Yes	No	No	€100	€100	初回は開始月終了後約60日、以後契約サイクル	EUR等	手段別	要確認	需要ソース/広告運用条件あり	Programmatic CPM	Display/Video等	Header bidding	ブランドセーフ/品質ポリシー	品質ポリシー・オリジナル性を重視。	Google需要を扱うためポリシー良好状態重要	2	10万visitors以上の成長先。0→1では対象外。	Medium	High	2026-08-11	https://setupad.com/	https://setupad.com/referral-program-setupad/	https://setupad.com/faqs/		setupad				
24	23	Mediavine Official	Mediavine	米国	Premium managed programmatic	https://www.mediavine.com/	Growth	1	年間広告収益$5,000+目安	公式OK	公式Helpで非英語・国際Publisherを受け付けると明記。	英語	旧セッション閾値ではなく、現行は年間広告収益$5,000+等の適格性	個別審査	Yes/厳格	個別	必須	Managed integration	要指示	Yes	Conditional	eCheck/Local Bank / International Wire	Tipalti	Yes	要確認	銀行情報として要確認	No	No	$100（PayPal/Wire等）	$100 Wire / $200 local bank	Net65	USD/ローカル通貨	Local bank FX約2%等、Wire feeあり	0	広告管理契約	Programmatic CPM	Display/Video等	Premium managed programmatic	ブランドセーフ	Original/evergreen/human-led品質を厳格審査。	Yes相当（Google AdSense good standingを要件として重視）	2	日本語可だが十分育ったサイト向け。『日本語だから不可』ではない点が重要。	High	High	2026-08-11	https://www.mediavine.com/	https://www.mediavine.com/mediavine-requirements/	https://help.mediavine.com/mediavine-payment-methods		mediavine-official				
25	24	Publift	Publift	オーストラリア/グローバル	Managed programmatic / monetization	https://www.publift.com/	Growth	1	月$2,000広告収益目安	個別審査	国際Publisher向け。日本語固有の公式可否を本調査で明示確認できず。	英語	公開条件は主に月$2,000広告収益目安（成長性で例外）	不明	Yes	オンボーディング約1週間目安	必須	Managed integration	要指示	Yes	Conditional	Direct bank transfer	Publift	要確認	要確認	要確認	No/確認できず	No/確認できず	公開ブログに$200表記あり。契約で要確認	契約で要確認	Google収益約30日、他需要はより長い場合あり	選択通貨で銀行送金可能と案内	契約/銀行条件	要確認	契約条件	Programmatic CPM	Display/Video等	Managed programmatic	ブランドセーフ	品質審査。AI固有公開条件は本調査で確認できず。	要確認	2	収益が育ってからの乗換候補。銀行直送は魅力。	Medium	High	2026-08-11	https://www.publift.com/	https://www.publift.com/how-it-works	https://www.publift.com/how-it-works		publift				
